system:index,sum,Country
2014/1/31,881512.4572,Japan
2014/2/28,827345.3551,Japan
2014/3/31,729110.4619,Japan
2014/4/30,612665.8866,Japan
2014/5/31,661434.5027,Japan
2014/6/30,596606.295,Japan
2014/7/31,638753.413,Japan
2014/8/31,647490.7292,Japan
2014/9/30,596215.2389,Japan
2014/10/31,594984.6078,Japan
2014/11/30,536998.751,Japan
2014/12/31,913134.778,Japan
2015/1/31,845822.6629,Japan
2015/2/28,828679.1686,Japan
2015/3/31,655037.561,Japan
2015/4/30,595975.2497,Japan
2015/5/31,632806.6924,Japan
2015/6/30,593393.2753,Japan
2015/7/31,618224.4245,Japan
2015/8/31,541349.7279,Japan
2015/9/30,603464.0599,Japan
2015/10/31,628669.2256,Japan
2015/11/30,617934.5876,Japan
2015/12/31,734494.6354,Japan
2016/1/31,831307.9324,Japan
2016/2/29,794214.3223,Japan
2016/3/31,680120.7476,Japan
2016/4/30,562232.2161,Japan
2016/5/31,599715.9396,Japan
2016/6/30,635683.4518,Japan
2016/7/31,548083.6741,Japan
2016/8/31,562133.2983,Japan
2016/9/30,554912.0616,Japan
2016/10/31,627917.7671,Japan
2016/11/30,629499.0576,Japan
2016/12/31,789054.242,Japan
2017/1/31,924326.8395,Japan
2017/2/28,906280.3133,Japan
2017/3/31,759900.5141,Japan
2017/4/30,687320.3255,Japan
2017/5/31,762506.3054,Japan
2017/6/30,726824.115,Japan
2017/7/31,671432.9867,Japan
2017/8/31,683898.0153,Japan
2017/9/30,673355.6964,Japan
2017/10/31,753755.0252,Japan
2017/11/30,814882.3803,Japan
2017/12/31,922820.7577,Japan
2018/1/31,1000273.04,Japan
2018/2/28,1019058.191,Japan
2018/3/31,799414.9198,Japan
2018/4/30,703111.443,Japan
2018/5/31,759703.2048,Japan
2018/6/30,699349.7369,Japan
2018/7/31,675533.495,Japan
2018/8/31,710659.7785,Japan
2018/9/30,620870.8459,Japan
2018/10/31,701472.4962,Japan
2018/11/30,685713.286,Japan
2018/12/31,869409.1667,Japan
